id,nomor_part,nama_part,jenis,qty,harga_jual,disc1,disc2,nomor_rak,harga_beli
1,06141GN5505,CAM CHAIN KIT,S,4,44000,17,5,A20238,34320
2,06141KVB505,CAM CHAIN KIT,S,7,92000,17,5,A20237,72150
3,06141KWB505,CAM CHAIN KIT,S,1,53000,17,5,,41730
4,061A1KEH003,GASKET KIT A,S,1,51000,17,5,A20411,39780
5,061A1KFL003,GASKET KIT A,S,3,55000,17,5,A20411,42900
6,061A1KPH003,GASKET KIT A,S,1,62000,17,5,A20424,48360
7,061A1KVY003,GASKET KIT A,S,1,130000,17,5,A20424,101400
8,061B1KEH003,GASKET KIT B,S,1,57000,17,5,A20422,44460
9,061B1KFL003,GASKET KIT B,S,1,58000,17,5,A20423,45240
10,061B1KPH003,GASKET KIT B,S,1,49000,17,5,A20423,38220
11,061B1KVY003,GASKET KIT B,S,1,51000,17,5,A20422,39780
12,06381KPH900,ROD KIT CONNECTING,S,2,230000,17,5,A10116,179400
13,06401K15900,DRIVE CHAIN KIT,S,3,287000,17,5,A30432,224250
14,06401K18900,DRIVE CHAIN KIT,S,2,255000,17,5,A30422,199290
15,06401K41N01,DRIVE CHAIN KIT,S,1,164000,17,5,A30331,127920
16,06401K45N01,DRIVE CHAIN KIT,S,2,284000,17,5,A30223,221520
17,06401K56N00,DRIVE CHAIN KIT,S,2,254000,17,5,A30422,198120
18,06401KCJ691,DRIVE CHAIN KIT,S,1,375000,17,5,A3033,292500
19,06401KEV881,DRIVE CHAIN KIT,S,8,176000,17,5,A30424,137280
20,06401KPH881,DRIVE CHAIN KIT,S,2,151000,17,5,A30222,117780
21,06401ktl700,DRIVE CHAIN KIT,S,9,176000,17,5,,137280
22,06401KWB900,DRIVE CHAIN KIT,S,3,163000,17,5,A30454,127530
23,06401KWC900,DRIVE CHAIN KIT,S,2,278000,17,5,A30421,216840
24,06401KWW900,DRIVE CHAIN KIT,S,2,154000,17,5,A30423,120120
25,06401KYE900,DRIVE CHAIN KIT,S,1,274000,17,5,A3013,214110
26,06401KYZ900,DRIVE CHAIN KIT,S,2,179000,17,5,A30223,139620
27,06435K07901,PAD SET RR,S,3,43000,17,5,A20454,33930
28,06435K56N01,"PAD SET, RR.",S,1,71000,17,5,A20431,55770
29,06435KPP901,PAD SET RR,S,4,43000,17,5,A20222,33540
30,06435KSPB01,PAD SET RR,S,3,58000,17,5,A20228,45240
31,06455K56N01,"PAD SET, FR. BRAKE",S,3,51000,17,5,A20443,39780
32,06455KPPN01,PAD SET FR,S,3,55000,17,5,A20219,42900
33,06455KR3404,PAD SET FR (NA),S,2,46000,17,5,A20224,35880
34,06455KVB401,PAD SET FR (NA),S,7,48000,17,5,A20221,37830
35,06455KVBT01,PAD SET FR,S,18,51000,17,5,A20239,39780
36,06455KVY911,PAD SET FR,S,7,45000,17,5,A20225,35490
37,06455KWB601,PAD SET FR,S,2,46000,17,5,A20227,35880
38,06455KWC901,PAD SET FR,S,8,53000,17,5,A20223,41340
39,06535GN5505,RACE STEERING KIT,S,4,82000,17,5,A30231,63960
40,06535KTR900,RACE STEERING KIT,S,3,90000,17,5,A20236,70200
41,0702S002000IN,O2 SENSOR WRENCH,S,1,80000,17,5,A20447,62400
42,074060050000IN,Fuel Pump Remover,S,1,171000,17,5,A20448,133380
